Cloud,Name,vCPU,MemoryMiB
Azure,Basic_A2,2,3584
Azure,Basic_A3,4,7168
Azure,Basic_A4,8,14336
Azure,Standard_M12s_v3,12,245760
Azure,Standard_M24s_v3,24,491520
Azure,Standard_M48s_1_v3,48,997376
Azure,Standard_M96s_1_v3,96,997376
Azure,Standard_M96s_2_v3,96,1992704
Azure,Standard_M176s_3_v3,176,2861056
Azure,Standard_M176s_4_v3,176,3985408
Azure,Standard_M12ds_v3,12,245760
Azure,Standard_M24ds_v3,24,491520
Azure,Standard_M48ds_1_v3,48,997376
Azure,Standard_M96ds_1_v3,96,997376
Azure,Standard_M96ds_2_v3,96,1992704
Azure,Standard_M176ds_3_v3,176,2861056
Azure,Standard_M176ds_4_v3,176,3985408
Azure,Standard_M16bs_v3,16,131072
Azure,Standard_M32bs_v3,32,262144
Azure,Standard_M48bs_v3,48,393216
Azure,Standard_M64bs_v3,64,524288
Azure,Standard_M96bs_v3,96,786432
Azure,Standard_M128-64bs_v3,128,1048576
Azure,Standard_M128bs_v3,128,1048576
Azure,Standard_M176-88bs_v3,176,1572864
Azure,Standard_M176bs_v3,176,1572864
Azure,Standard_M16bds_v3,16,131072
Azure,Standard_M32bds_v3,32,262144
Azure,Standard_M48bds_v3,48,393216
Azure,Standard_M64-32bds_1_v3,64,1430528
Azure,Standard_M64bds_1_v3,64,1430528
Azure,Standard_M64bds_v3,64,524288
Azure,Standard_M96-48bds_2_v3,96,1992704
Azure,Standard_M96bds_2_v3,96,1992704
Azure,Standard_M96bds_v3,96,786432
Azure,Standard_M128-64bds_3_v3,128,2861056
Azure,Standard_M128-64bds_v3,128,1048576
Azure,Standard_M128bds_3_v3,128,2861056
Azure,Standard_M128bds_v3,128,1048576
Azure,Standard_M176-88bds_4_v3,176,3985408
Azure,Standard_M176-88bds_v3,176,1572864
Azure,Standard_M176bds_4_v3,176,3985408
Azure,Standard_M176bds_v3,176,1572864
Azure,Standard_E64i_v3,64,442368
Azure,Standard_E64is_v3,64,442368
Azure,Standard_M208ms_v2,208,5836800
Azure,Standard_M208s_v2,208,2918400
Azure,Standard_M416-208s_v2,416,5836800
Azure,Standard_M416s_v2,416,5836800
Azure,Standard_M416-208ms_v2,416,11673600
Azure,Standard_M416ms_v2,416,11673600
Azure,Standard_M416s_8_v2,416,7782400
Azure,Standard_L8s_v3,8,65536
Azure,Standard_L16s_v3,16,131072
Azure,Standard_L32s_v3,32,262144
Azure,Standard_L48s_v3,48,393216
Azure,Standard_L64s_v3,64,524288
Azure,Standard_L80s_v3,80,655360
Azure,Standard_NC4as_T4_v3,4,28672
Azure,Standard_NC8as_T4_v3,8,57344
Azure,Standard_NC16as_T4_v3,16,112640
Azure,Standard_NC64as_T4_v3,64,450560
Azure,Standard_NV6s_v2,6,114688
Azure,Standard_NV12s_v2,12,229376
Azure,Standard_NV24s_v2,24,458752
Azure,Standard_NV12s_v3,12,114688
Azure,Standard_NV24s_v3,24,229376
Azure,Standard_NV48s_v3,48,458752
Azure,Standard_HB120-16rs_v2,120,466944
Azure,Standard_HB120-32rs_v2,120,466944
Azure,Standard_HB120-64rs_v2,120,466944
Azure,Standard_HB120-96rs_v2,120,466944
Azure,Standard_HB120rs_v2,120,466944
Azure,Standard_D2plds_v5,2,4096
Azure,Standard_D4plds_v5,4,8192
Azure,Standard_D8plds_v5,8,16384
Azure,Standard_D16plds_v5,16,32768
Azure,Standard_D32plds_v5,32,65536
Azure,Standard_D48plds_v5,48,98304
Azure,Standard_D64plds_v5,64,131072
Azure,Standard_D2pls_v5,2,4096
Azure,Standard_D4pls_v5,4,8192
Azure,Standard_D8pls_v5,8,16384
Azure,Standard_D16pls_v5,16,32768
Azure,Standard_D32pls_v5,32,65536
Azure,Standard_D48pls_v5,48,98304
Azure,Standard_D64pls_v5,64,131072
Azure,Standard_D2pds_v5,2,8192
Azure,Standard_D4pds_v5,4,16384
Azure,Standard_D8pds_v5,8,32768
Azure,Standard_D16pds_v5,16,65536
Azure,Standard_D32pds_v5,32,131072
Azure,Standard_D48pds_v5,48,196608
Azure,Standard_D64pds_v5,64,212992
Azure,Standard_D2ps_v5,2,8192
Azure,Standard_D4ps_v5,4,16384
Azure,Standard_D8ps_v5,8,32768
Azure,Standard_D16ps_v5,16,65536
Azure,Standard_D32ps_v5,32,131072
Azure,Standard_D48ps_v5,48,196608
Azure,Standard_D64ps_v5,64,212992
Azure,Standard_E2pds_v5,2,16384
Azure,Standard_E4pds_v5,4,32768
Azure,Standard_E8pds_v5,8,65536
Azure,Standard_E16pds_v5,16,131072
Azure,Standard_E20pds_v5,20,163840
Azure,Standard_E32pds_v5,32,212992
Azure,Standard_E2ps_v5,2,16384
Azure,Standard_E4ps_v5,4,32768
Azure,Standard_E8ps_v5,8,65536
Azure,Standard_E16ps_v5,16,131072
Azure,Standard_E20ps_v5,20,163840
Azure,Standard_E32ps_v5,32,212992
Azure,Standard_B2pls_v2,2,4096
Azure,Standard_B2ps_v2,2,8192
Azure,Standard_B2pts_v2,2,1024
Azure,Standard_B4pls_v2,4,8192
Azure,Standard_B4ps_v2,4,16384
Azure,Standard_B8pls_v2,8,16384
Azure,Standard_B8ps_v2,8,32768
Azure,Standard_B16pls_v2,16,32768
Azure,Standard_B16ps_v2,16,65536
Azure,Standard_M416ds_6_v3,416,5832704
Azure,Standard_M416ds_8_v3,416,7782400
Azure,Standard_M416s_6_v3,416,5832704
Azure,Standard_M416s_8_v3,416,7782400
Azure,Standard_M624ds_12_v3,624,11673600
Azure,Standard_M832ds_12_v3,832,11673600
Azure,Standard_M624s_12_v3,624,11673600
Azure,Standard_M832s_12_v3,832,11673600
Azure,Standard_M832ids_16_v3,832,15564800
Azure,Standard_M832is_16_v3,832,15564800
Azure,Standard_NC24ads_A100_v4,24,225280
Azure,Standard_NC48ads_A100_v4,48,450560
Azure,Standard_NC96ads_A100_v4,96,901120
Azure,Standard_L8s_v2,8,65536
Azure,Standard_L16s_v2,16,131072
Azure,Standard_L32s_v2,32,262144
Azure,Standard_L48s_v2,48,393216
Azure,Standard_L64s_v2,64,524288
Azure,Standard_L80s_v2,80,655360
Azure,Standard_NV6ads_A10_v5,6,56320
Azure,Standard_NV12ads_A10_v5,12,112640
Azure,Standard_NV18ads_A10_v5,18,225280
Azure,Standard_NV36adms_A10_v5,36,901120
Azure,Standard_NV36ads_A10_v5,36,450560
Azure,Standard_NV72ads_A10_v5,72,901120
Azure,Standard_DC8_v2,8,32768
Azure,Standard_DC1s_v2,1,4096
Azure,Standard_DC2s_v2,2,8192
Azure,Standard_DC4s_v2,4,16384
Azure,Standard_ND40rs_v2,40,688128
Azure,Standard_HC44-16rs,16,360448
Azure,Standard_HC44-32rs,32,360448
Azure,Standard_HC44rs,44,360448
Azure,Standard_HX176-24rs,176,1441792
Azure,Standard_HX176-48rs,176,1441792
Azure,Standard_HX176-96rs,176,1441792
Azure,Standard_HX176-144rs,176,1441792
Azure,Standard_HX176rs,176,1441792
Azure,Standard_HB176-24rs_v4,176,786432
Azure,Standard_HB176-48rs_v4,176,786432
Azure,Standard_HB176-96rs_v4,176,786432
Azure,Standard_HB176-144rs_v4,176,786432
Azure,Standard_HB176rs_v4,176,786432
Azure,Standard_G1,2,28672
Azure,Standard_G2,4,57344
Azure,Standard_G3,8,114688
Azure,Standard_G4,16,229376
Azure,Standard_G5,32,458752
Azure,Standard_GS1,2,28672
Azure,Standard_GS2,4,57344
Azure,Standard_GS3,8,114688
Azure,Standard_GS4,16,229376
Azure,Standard_GS4-4,16,229376
Azure,Standard_GS4-8,16,229376
Azure,Standard_GS5,32,458752
Azure,Standard_GS5-8,32,458752
Azure,Standard_GS5-16,32,458752
Azure,Standard_L4s,4,32768
Azure,Standard_L8s,8,65536
Azure,Standard_L16s,16,131072
Azure,Standard_L32s,32,262144
Azure,Standard_FX4mds,4,86016
Azure,Standard_FX12mds,12,258048
Azure,Standard_FX24mds,24,516096
Azure,Standard_FX36mds,36,774144
Azure,Standard_FX48mds,48,1032192
Azure,Standard_NC40ads_H100_v5,40,327680
Azure,Standard_NC80adis_H100_v5,80,655360
Azure,Standard_NP10s,10,172032
Azure,Standard_NP20s,20,344064
Azure,Standard_NP40s,40,688128
Azure,Standard_D2pls_v6,2,4096
Azure,Standard_D4pls_v6,4,8192
Azure,Standard_D8pls_v6,8,16384
Azure,Standard_D16pls_v6,16,32768
Azure,Standard_D32pls_v6,32,65536
Azure,Standard_D48pls_v6,48,98304
Azure,Standard_D64pls_v6,64,131072
Azure,Standard_D96pls_v6,96,196608
Azure,Standard_D2plds_v6,2,4096
Azure,Standard_D4plds_v6,4,8192
Azure,Standard_D8plds_v6,8,16384
Azure,Standard_D16plds_v6,16,32768
Azure,Standard_D32plds_v6,32,65536
Azure,Standard_D48plds_v6,48,98304
Azure,Standard_D64plds_v6,64,131072
Azure,Standard_D96plds_v6,96,196608
Azure,Standard_D2ps_v6,2,8192
Azure,Standard_D4ps_v6,4,16384
Azure,Standard_D8ps_v6,8,32768
Azure,Standard_D16ps_v6,16,65536
Azure,Standard_D32ps_v6,32,131072
Azure,Standard_D48ps_v6,48,196608
Azure,Standard_D64ps_v6,64,262144
Azure,Standard_D2pds_v6,2,8192
Azure,Standard_D4pds_v6,4,16384
Azure,Standard_D8pds_v6,8,32768
Azure,Standard_D16pds_v6,16,65536
Azure,Standard_D32pds_v6,32,131072
Azure,Standard_D48pds_v6,48,196608
Azure,Standard_D64pds_v6,64,262144
Azure,Standard_E2ps_v6,2,16384
Azure,Standard_E4ps_v6,4,32768
Azure,Standard_E8ps_v6,8,65536
Azure,Standard_E16ps_v6,16,131072
Azure,Standard_E32ps_v6,32,262144
Azure,Standard_E2pds_v6,2,16384
Azure,Standard_E4pds_v6,4,32768
Azure,Standard_E8pds_v6,8,65536
Azure,Standard_E16pds_v6,16,131072
Azure,Standard_E32pds_v6,32,262144
Azure,Standard_NC6s_v3,6,114688
Azure,Standard_NC12s_v3,12,229376
Azure,Standard_NC24rs_v3,24,458752
Azure,Standard_NC24s_v3,24,458752
Azure,Standard_ND96isr_H100_v5,96,1945600
Azure,Standard_NV4as_v4,4,14336
Azure,Standard_NV8as_v4,8,28672
Azure,Standard_NV16as_v4,16,57344
Azure,Standard_NV32as_v4,32,114688
Azure,Standard_NC6,6,57344
Azure,Standard_NC12,12,114688
Azure,Standard_NC24,24,229376
Azure,Standard_NC24r,24,229376
Azure,Standard_NC6_Promo,6,57344
Azure,Standard_NC12_Promo,12,114688
Azure,Standard_NC24_Promo,24,229376
Azure,Standard_NC24r_Promo,24,229376
Azure,Standard_DC1s_v3,1,8192
Azure,Standard_DC2s_v3,2,16384
Azure,Standard_DC4s_v3,4,32768
Azure,Standard_DC8s_v3,8,65536
Azure,Standard_DC16s_v3,16,131072
Azure,Standard_DC24s_v3,24,196608
Azure,Standard_DC32s_v3,32,262144
Azure,Standard_DC48s_v3,48,393216
Azure,Standard_DC1ds_v3,1,8192
Azure,Standard_DC2ds_v3,2,16384
Azure,Standard_DC4ds_v3,4,32768
Azure,Standard_DC8ds_v3,8,65536
Azure,Standard_DC16ds_v3,16,131072
Azure,Standard_DC24ds_v3,24,196608
Azure,Standard_DC32ds_v3,32,262144
Azure,Standard_DC48ds_v3,48,393216
Azure,Standard_ND96amsr_A100_v4,96,1843200
Azure,Standard_D2as_v6,2,8192
Azure,Standard_D4as_v6,4,16384
Azure,Standard_D8as_v6,8,32768
Azure,Standard_D16as_v6,16,65536
Azure,Standard_D32as_v6,32,131072
Azure,Standard_D48as_v6,48,196608
Azure,Standard_D64as_v6,64,262144
Azure,Standard_D96as_v6,96,393216
Azure,Standard_E2as_v6,2,16384
Azure,Standard_E4as_v6,4,32768
Azure,Standard_E8as_v6,8,65536
Azure,Standard_E16as_v6,16,131072
Azure,Standard_E20as_v6,20,163840
Azure,Standard_E32as_v6,32,262144
Azure,Standard_E48as_v6,48,393216
Azure,Standard_E64as_v6,64,524288
Azure,Standard_E96as_v6,96,688128
Azure,Standard_D2ads_v6,2,8192
Azure,Standard_D4ads_v6,4,16384
Azure,Standard_D8ads_v6,8,32768
Azure,Standard_D16ads_v6,16,65536
Azure,Standard_D32ads_v6,32,131072
Azure,Standard_D48ads_v6,48,196608
Azure,Standard_D64ads_v6,64,262144
Azure,Standard_D96ads_v6,96,393216
Azure,Standard_D2als_v6,2,4096
Azure,Standard_D4als_v6,4,8192
Azure,Standard_D8als_v6,8,16384
Azure,Standard_D16als_v6,16,32768
Azure,Standard_D32als_v6,32,65536
Azure,Standard_D48als_v6,48,98304
Azure,Standard_D64als_v6,64,131072
Azure,Standard_D96als_v6,96,196608
Azure,Standard_D2alds_v6,2,4096
Azure,Standard_D4alds_v6,4,8192
Azure,Standard_D8alds_v6,8,16384
Azure,Standard_D16alds_v6,16,32768
Azure,Standard_D32alds_v6,32,65536
Azure,Standard_D48alds_v6,48,98304
Azure,Standard_D64alds_v6,64,131072
Azure,Standard_D96alds_v6,96,196608
Azure,Standard_E2ads_v6,2,16384
Azure,Standard_E4ads_v6,4,32768
Azure,Standard_E8ads_v6,8,65536
Azure,Standard_E16ads_v6,16,131072
Azure,Standard_E20ads_v6,20,163840
Azure,Standard_E32ads_v6,32,262144
Azure,Standard_E48ads_v6,48,393216
Azure,Standard_E64ads_v6,64,524288
Azure,Standard_E96ads_v6,96,688128
Azure,Standard_F2as_v6,2,8192
Azure,Standard_F4as_v6,4,16384
Azure,Standard_F8as_v6,8,32768
Azure,Standard_F16as_v6,16,65536
Azure,Standard_F32as_v6,32,131072
Azure,Standard_F48as_v6,48,196608
Azure,Standard_F64as_v6,64,262144
Azure,Standard_F2als_v6,2,4096
Azure,Standard_F4als_v6,4,8192
Azure,Standard_F8als_v6,8,16384
Azure,Standard_F16als_v6,16,32768
Azure,Standard_F32als_v6,32,65536
Azure,Standard_F48als_v6,48,98304
Azure,Standard_F64als_v6,64,131072
Azure,Standard_F2ams_v6,2,16384
Azure,Standard_F4ams_v6,4,32768
Azure,Standard_F8ams_v6,8,65536
Azure,Standard_F16ams_v6,16,131072
Azure,Standard_F32ams_v6,32,262144
Azure,Standard_F48ams_v6,48,393216
Azure,Standard_F64ams_v6,64,524288
Azure,Standard_D96pds_v6,96,393216
Azure,Standard_D96ps_v6,96,393216
Azure,Standard_E48ps_v6,48,393216
Azure,Standard_E64ps_v6,64,524288
Azure,Standard_E96ps_v6,96,688128
Azure,Standard_E48pds_v6,48,393216
Azure,Standard_E64pds_v6,64,524288
Azure,Standard_E96pds_v6,96,688128
Azure,Standard_HB120-16rs_v3,120,466944
Azure,Standard_HB120-32rs_v3,120,466944
Azure,Standard_HB120-64rs_v3,120,466944
Azure,Standard_HB120-96rs_v3,120,466944
Azure,Standard_HB120rs_v3,120,466944
Azure,Standard_PB6s,6,114688
Azure,Standard_NV6,6,57344
Azure,Standard_NV12,12,114688
Azure,Standard_NV24,24,229376
Azure,Standard_NV6_Promo,6,57344
Azure,Standard_NV12_Promo,12,114688
Azure,Standard_NV24_Promo,24,229376
Azure,Standard_HB60-15rs,15,233472
Azure,Standard_HB60-30rs,30,233472
Azure,Standard_HB60-45rs,45,233472
Azure,Standard_HB60rs,60,233472
Azure,Standard_ND96asr_v4,96,921600
Azure,Standard_ND40s_v3,40,688128
Azure,Standard_NC8ads_A10_v4,8,102400
Azure,Standard_NC16ads_A10_v4,16,204800
Azure,Standard_NC32ads_A10_v4,32,409600
GCP,a2-highgpu-1g,12,87040
GCP,a2-highgpu-2g,24,174080
GCP,a2-highgpu-4g,48,348160
GCP,a2-highgpu-8g,96,696320
GCP,a2-megagpu-16g,96,1392640
GCP,a2-ultragpu-1g,12,174080
GCP,a2-ultragpu-2g,24,348160
GCP,a2-ultragpu-4g,48,696320
GCP,a2-ultragpu-8g,96,1392640
GCP,a3-edgegpu-8g,208,1916928
GCP,a3-edgegpu-8g-nolssd,208,1916928
GCP,a3-highgpu-1g,26,239616
GCP,a3-highgpu-2g,52,479232
GCP,a3-highgpu-4g,104,958464
GCP,a3-highgpu-8g,208,1916928
GCP,a3-megagpu-8g,208,1916928
GCP,c2-standard-16,16,65536
GCP,c2-standard-30,30,122880
GCP,c2-standard-4,4,16384
GCP,c2-standard-60,60,245760
GCP,c2-standard-8,8,32768
GCP,c2d-highcpu-112,112,229376
GCP,c2d-highcpu-16,16,32768
GCP,c2d-highcpu-2,2,4096
GCP,c2d-highcpu-32,32,65536
GCP,c2d-highcpu-4,4,8192
GCP,c2d-highcpu-56,56,114688
GCP,c2d-highcpu-8,8,16384
GCP,c2d-highmem-112,112,917504
GCP,c2d-highmem-16,16,131072
GCP,c2d-highmem-2,2,16384
GCP,c2d-highmem-32,32,262144
GCP,c2d-highmem-4,4,32768
GCP,c2d-highmem-56,56,458752
GCP,c2d-highmem-8,8,65536
GCP,c2d-standard-112,112,458752
GCP,c2d-standard-16,16,65536
GCP,c2d-standard-2,2,8192
GCP,c2d-standard-32,32,131072
GCP,c2d-standard-4,4,16384
GCP,c2d-standard-56,56,229376
GCP,c2d-standard-8,8,32768
GCP,c3-highcpu-176,176,360448
GCP,c3-highcpu-22,22,45056
GCP,c3-highcpu-4,4,8192
GCP,c3-highcpu-44,44,90112
GCP,c3-highcpu-8,8,16384
GCP,c3-highcpu-88,88,180224
GCP,c3-highmem-176,176,1441792
GCP,c3-highmem-192-metal,192,1572864
GCP,c3-highmem-22,22,180224
GCP,c3-highmem-4,4,32768
GCP,c3-highmem-44,44,360448
GCP,c3-highmem-8,8,65536
GCP,c3-highmem-88,88,720896
GCP,c3-standard-176,176,720896
GCP,c3-standard-176-lssd,176,720896
GCP,c3-standard-192-metal,192,786432
GCP,c3-standard-22,22,90112
GCP,c3-standard-22-lssd,22,90112
GCP,c3-standard-4,4,16384
GCP,c3-standard-4-lssd,4,16384
GCP,c3-standard-44,44,180224
GCP,c3-standard-44-lssd,44,180224
GCP,c3-standard-8,8,32768
GCP,c3-standard-8-lssd,8,32768
GCP,c3-standard-88,88,360448
GCP,c3-standard-88-lssd,88,360448
GCP,c3d-highcpu-16,16,32768
GCP,c3d-highcpu-180,180,362496
GCP,c3d-highcpu-30,30,60416
GCP,c3d-highcpu-360,360,724992
GCP,c3d-highcpu-4,4,8192
GCP,c3d-highcpu-60,60,120832
GCP,c3d-highcpu-8,8,16384
GCP,c3d-highcpu-90,90,181248
GCP,c3d-highmem-16,16,131072
GCP,c3d-highmem-16-lssd,16,131072
GCP,c3d-highmem-180,180,1474560
GCP,c3d-highmem-180-lssd,180,1474560
GCP,c3d-highmem-30,30,245760
GCP,c3d-highmem-30-lssd,30,245760
GCP,c3d-highmem-360,360,2949120
GCP,c3d-highmem-360-lssd,360,2949120
GCP,c3d-highmem-4,4,32768
GCP,c3d-highmem-60,60,491520
GCP,c3d-highmem-60-lssd,60,491520
GCP,c3d-highmem-8,8,65536
GCP,c3d-highmem-8-lssd,8,65536
GCP,c3d-highmem-90,90,737280
GCP,c3d-highmem-90-lssd,90,737280
GCP,c3d-standard-16,16,65536
GCP,c3d-standard-16-lssd,16,65536
GCP,c3d-standard-180,180,737280
GCP,c3d-standard-180-lssd,180,737280
GCP,c3d-standard-30,30,122880
GCP,c3d-standard-30-lssd,30,122880
GCP,c3d-standard-360,360,1474560
GCP,c3d-standard-360-lssd,360,1474560
GCP,c3d-standard-4,4,16384
GCP,c3d-standard-60,60,245760
GCP,c3d-standard-60-lssd,60,245760
GCP,c3d-standard-8,8,32768
GCP,c3d-standard-8-lssd,8,32768
GCP,c3d-standard-90,90,368640
GCP,c3d-standard-90-lssd,90,368640
GCP,c4-highcpu-16,16,32768
GCP,c4-highcpu-192,192,393216
GCP,c4-highcpu-2,2,4096
GCP,c4-highcpu-32,32,65536
GCP,c4-highcpu-4,4,8192
GCP,c4-highcpu-48,48,98304
GCP,c4-highcpu-8,8,16384
GCP,c4-highcpu-96,96,196608
GCP,c4-highmem-16,16,126976
GCP,c4-highmem-192,192,1523712
GCP,c4-highmem-2,2,15360
GCP,c4-highmem-32,32,253952
GCP,c4-highmem-4,4,31744
GCP,c4-highmem-48,48,380928
GCP,c4-highmem-8,8,63488
GCP,c4-highmem-96,96,761856
GCP,c4-standard-16,16,61440
GCP,c4-standard-192,192,737280
GCP,c4-standard-2,2,7168
GCP,c4-standard-32,32,122880
GCP,c4-standard-4,4,15360
GCP,c4-standard-48,48,184320
GCP,c4-standard-8,8,30720
GCP,c4-standard-96,96,368640
GCP,c4a-highcpu-1,1,2048
GCP,c4a-highcpu-16,16,32768
GCP,c4a-highcpu-2,2,4096
GCP,c4a-highcpu-32,32,65536
GCP,c4a-highcpu-4,4,8192
GCP,c4a-highcpu-48,48,98304
GCP,c4a-highcpu-64,64,131072
GCP,c4a-highcpu-72,72,147456
GCP,c4a-highcpu-8,8,16384
GCP,c4a-highmem-1,1,8192
GCP,c4a-highmem-16,16,131072
GCP,c4a-highmem-16-lssd,16,131072
GCP,c4a-highmem-2,2,16384
GCP,c4a-highmem-32,32,262144
GCP,c4a-highmem-32-lssd,32,262144
GCP,c4a-highmem-4,4,32768
GCP,c4a-highmem-4-lssd,4,32768
GCP,c4a-highmem-48,48,393216
GCP,c4a-highmem-48-lssd,48,393216
GCP,c4a-highmem-64,64,524288
GCP,c4a-highmem-64-lssd,64,524288
GCP,c4a-highmem-72,72,589824
GCP,c4a-highmem-72-lssd,72,589824
GCP,c4a-highmem-8,8,65536
GCP,c4a-highmem-8-lssd,8,65536
GCP,c4a-standard-1,1,4096
GCP,c4a-standard-16,16,65536
GCP,c4a-standard-16-lssd,16,65536
GCP,c4a-standard-2,2,8192
GCP,c4a-standard-32,32,131072
GCP,c4a-standard-32-lssd,32,131072
GCP,c4a-standard-4,4,16384
GCP,c4a-standard-4-lssd,4,16384
GCP,c4a-standard-48,48,196608
GCP,c4a-standard-48-lssd,48,196608
GCP,c4a-standard-64,64,262144
GCP,c4a-standard-64-lssd,64,262144
GCP,c4a-standard-72,72,294912
GCP,c4a-standard-72-lssd,72,294912
GCP,c4a-standard-8,8,32768
GCP,c4a-standard-8-lssd,8,32768
GCP,ct3-hightpu-4t,96,348160
GCP,ct3p-hightpu-4t,48,348160
GCP,ct5l-hightpu-1t,24,49152
GCP,ct5l-hightpu-4t,112,196608
GCP,ct5l-hightpu-8t,224,393216
GCP,ct5lp-hightpu-1t,24,49152
GCP,ct5lp-hightpu-4t,112,196608
GCP,ct5lp-hightpu-8t,224,393216
GCP,ct5p-hightpu-4t,208,458752
GCP,e2-highcpu-16,16,16384
GCP,e2-highcpu-2,2,2048
GCP,e2-highcpu-32,32,32768
GCP,e2-highcpu-4,4,4096
GCP,e2-highcpu-8,8,8192
GCP,e2-highmem-16,16,131072
GCP,e2-highmem-2,2,16384
GCP,e2-highmem-4,4,32768
GCP,e2-highmem-8,8,65536
GCP,e2-medium,2,4096
GCP,e2-micro,2,1024
GCP,e2-small,2,2048
GCP,e2-standard-16,16,65536
GCP,e2-standard-2,2,8192
GCP,e2-standard-32,32,131072
GCP,e2-standard-4,4,16384
GCP,e2-standard-8,8,32768
GCP,f1-micro,1,614
GCP,g1-small,1,1740
GCP,g2-standard-12,12,49152
GCP,g2-standard-16,16,65536
GCP,g2-standard-24,24,98304
GCP,g2-standard-32,32,131072
GCP,g2-standard-4,4,16384
GCP,g2-standard-48,48,196608
GCP,g2-standard-8,8,32768
GCP,g2-standard-96,96,393216
GCP,h3-standard-88,88,360448
GCP,m1-megamem-96,96,1468006
GCP,m1-ultramem-160,160,3936256
GCP,m1-ultramem-40,40,984064
GCP,m1-ultramem-80,80,1968128
GCP,m2-hypermem-416,416,9043968
GCP,m2-megamem-416,416,6029312
GCP,m2-ultramem-208,208,6029312
GCP,m2-ultramem-416,416,12058624
GCP,m3-megamem-128,128,1998848
GCP,m3-megamem-64,64,999424
GCP,m3-ultramem-128,128,3997696
GCP,m3-ultramem-32,32,999424
GCP,m3-ultramem-64,64,1998848
GCP,n1-highcpu-16,16,14746
GCP,n1-highcpu-2,2,1843
GCP,n1-highcpu-32,32,29491
GCP,n1-highcpu-4,4,3686
GCP,n1-highcpu-64,64,58982
GCP,n1-highcpu-8,8,7373
GCP,n1-highcpu-96,96,88474
GCP,n1-highmem-16,16,106496
GCP,n1-highmem-2,2,13312
GCP,n1-highmem-32,32,212992
GCP,n1-highmem-4,4,26624
GCP,n1-highmem-64,64,425984
GCP,n1-highmem-8,8,53248
GCP,n1-highmem-96,96,638976
GCP,n1-megamem-96,96,1468006
GCP,n1-standard-1,1,3840
GCP,n1-standard-16,16,61440
GCP,n1-standard-2,2,7680
GCP,n1-standard-32,32,122880
GCP,n1-standard-4,4,15360
GCP,n1-standard-64,64,245760
GCP,n1-standard-8,8,30720
GCP,n1-standard-96,96,368640
GCP,n1-ultramem-160,160,3936256
GCP,n1-ultramem-40,40,984064
GCP,n1-ultramem-80,80,1968128
GCP,n2-highcpu-16,16,16384
GCP,n2-highcpu-2,2,2048
GCP,n2-highcpu-32,32,32768
GCP,n2-highcpu-4,4,4096
GCP,n2-highcpu-48,48,49152
GCP,n2-highcpu-64,64,65536
GCP,n2-highcpu-8,8,8192
GCP,n2-highcpu-80,80,81920
GCP,n2-highcpu-96,96,98304
GCP,n2-highmem-128,128,884736
GCP,n2-highmem-16,16,131072
GCP,n2-highmem-2,2,16384
GCP,n2-highmem-32,32,262144
GCP,n2-highmem-4,4,32768
GCP,n2-highmem-48,48,393216
GCP,n2-highmem-64,64,524288
GCP,n2-highmem-8,8,65536
GCP,n2-highmem-80,80,655360
GCP,n2-highmem-96,96,786432
GCP,n2-standard-128,128,524288
GCP,n2-standard-16,16,65536
GCP,n2-standard-2,2,8192
GCP,n2-standard-32,32,131072
GCP,n2-standard-4,4,16384
GCP,n2-standard-48,48,196608
GCP,n2-standard-64,64,262144
GCP,n2-standard-8,8,32768
GCP,n2-standard-80,80,327680
GCP,n2-standard-96,96,393216
GCP,n2d-highcpu-128,128,131072
GCP,n2d-highcpu-16,16,16384
GCP,n2d-highcpu-2,2,2048
GCP,n2d-highcpu-224,224,229376
GCP,n2d-highcpu-32,32,32768
GCP,n2d-highcpu-4,4,4096
GCP,n2d-highcpu-48,48,49152
GCP,n2d-highcpu-64,64,65536
GCP,n2d-highcpu-8,8,8192
GCP,n2d-highcpu-80,80,81920
GCP,n2d-highcpu-96,96,98304
GCP,n2d-highmem-16,16,131072
GCP,n2d-highmem-2,2,16384
GCP,n2d-highmem-32,32,262144
GCP,n2d-highmem-4,4,32768
GCP,n2d-highmem-48,48,393216
GCP,n2d-highmem-64,64,524288
GCP,n2d-highmem-8,8,65536
GCP,n2d-highmem-80,80,655360
GCP,n2d-highmem-96,96,786432
GCP,n2d-standard-128,128,524288
GCP,n2d-standard-16,16,65536
GCP,n2d-standard-2,2,8192
GCP,n2d-standard-224,224,917504
GCP,n2d-standard-32,32,131072
GCP,n2d-standard-4,4,16384
GCP,n2d-standard-48,48,196608
GCP,n2d-standard-64,64,262144
GCP,n2d-standard-8,8,32768
GCP,n2d-standard-80,80,327680
GCP,n2d-standard-96,96,393216
GCP,n4-highcpu-16,16,32768
GCP,n4-highcpu-2,2,4096
GCP,n4-highcpu-32,32,65536
GCP,n4-highcpu-4,4,8192
GCP,n4-highcpu-48,48,98304
GCP,n4-highcpu-64,64,131072
GCP,n4-highcpu-8,8,16384
GCP,n4-highcpu-80,80,163840
GCP,n4-highmem-16,16,131072
GCP,n4-highmem-2,2,16384
GCP,n4-highmem-32,32,262144
GCP,n4-highmem-4,4,32768
GCP,n4-highmem-48,48,393216
GCP,n4-highmem-64,64,524288
GCP,n4-highmem-8,8,65536
GCP,n4-highmem-80,80,655360
GCP,n4-standard-16,16,65536
GCP,n4-standard-2,2,8192
GCP,n4-standard-32,32,131072
